STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000002618,F,Municipal
000000000002619,P,Municipal
000000000002620,P,Municipal
000000000002621,P,Municipal
000000000002622,P,Municipal
000000000002623,F,Municipal
000000000002624,F,Municipal
000000000002626,F,Municipal
000000000002627,P,Municipal
000000000002628,F,Municipal
000000000002629,P,Municipal
000000000002630,F,County
000000000002631,P,County
000000000002632,P,County
000000000002634,F,County
000000000002635,G,County
000000000002638,F,County
000000000002639,F,County
000000000002640,G,County
000000000002641,F,Municipal
000000000002642,F,Municipal
000000000002645,F,County
000000000002646,G,County
000000000002652,P,Municipal
000000000002655,F,Municipal
000000000002660,P,Municipal
000000000002661,P,Municipal
000000000002663,P,County
000000000002665,F,County
000000000002666,F,County
000000000002670,F,County
000000000002671,P,County
000000000002674,F,County
000000000002679,F,County
000000000002680,G,County
000000000002687,F,Municipal
000000000002688,F,Municipal
000000000002690,F,Municipal
000000000002692,P,County
000000000002693,F,County
000000000002702,P,Municipal
000000000002703,F,Municipal
000000000002704,F,Municipal
000000000002705,F,County
000000000002708,P,Municipal
000000000002710,F,County
000000000002714,F,County
000000000002716,F,Municipal
000000000002718,F,Municipal
000000000002719,F,Municipal
000000000002720,F,County
000000000002721,P,County
000000000002723,F,County
000000000002724,F,County
000000000002727,F,County
000000000002728,F,County
000000000002729,P,Municipal
000000000002730,F,PennDOT
000000000002731,F,PennDOT
000000000002732,F,PennDOT
000000000002733,F,PennDOT
000000000002739,F,PennDOT
000000000002741,F,PennDOT
000000000002742,F,PennDOT
000000000002743,F,PennDOT
000000000002745,P,PennDOT
000000000002747,F,PennDOT
000000000002749,F,PennDOT
000000000002750,F,PennDOT
000000000002752,F,PennDOT
000000000002753,G,PennDOT
000000000002756,G,PennDOT
000000000002759,F,PennDOT
000000000002760,F,PennDOT
000000000002762,F,PennDOT
000000000002766,F,PennDOT
000000000002770,G,PennDOT
000000000002771,F,PennDOT
000000000002772,G,PennDOT
000000000002773,G,PennDOT
000000000002775,F,PennDOT
000000000002776,F,PennDOT
000000000002777,F,PennDOT
000000000002778,F,PennDOT
000000000002779,F,PennDOT
000000000002780,F,PennDOT
000000000002783,G,PennDOT
000000000002785,F,PennDOT
000000000002786,G,PennDOT
000000000002788,F,PennDOT
000000000002789,F,PennDOT
000000000002790,F,PennDOT
000000000002792,G,PennDOT
000000000002793,G,PennDOT
000000000002794,F,PennDOT
000000000002796,G,PennDOT
000000000002799,G,PennDOT
000000000002802,F,PennDOT
000000000002805,F,PennDOT
000000000002807,F,PennDOT
000000000002809,F,PennDOT
000000000002811,F,PennDOT
000000000002813,F,PennDOT
000000000002814,F,PennDOT
000000000002817,F,PennDOT
000000000002819,G,PennDOT
000000000002820,P,PennDOT
000000000002821,F,PennDOT
000000000002825,F,PennDOT
000000000002827,G,PennDOT
000000000002828,G,PennDOT
000000000002829,G,PennDOT
000000000002830,G,PennDOT
000000000002831,G,PennDOT
000000000002834,F,PennDOT
000000000002835,G,PennDOT
000000000002836,G,PennDOT
000000000002837,F,PennDOT
000000000002839,F,PennDOT
000000000002842,G,PennDOT
000000000002843,F,PennDOT
000000000002844,F,PennDOT
000000000002848,F,PennDOT
000000000002849,F,PennDOT
000000000002850,F,PennDOT
000000000002855,F,PennDOT
000000000002858,G,PennDOT
000000000002859,F,PennDOT
000000000002862,G,PennDOT
000000000002868,F,PennDOT
000000000002869,F,PennDOT
000000000002872,G,PennDOT
000000000002874,G,PennDOT
000000000002877,F,PennDOT
000000000002878,F,PennDOT
000000000002881,F,PennDOT
000000000002882,F,PennDOT
000000000002883,F,PennDOT
000000000002884,F,PennDOT
000000000002886,G,PennDOT
000000000002887,F,PennDOT
000000000002890,F,PennDOT
000000000002891,F,PennDOT
000000000002892,F,PennDOT
000000000002896,P,PennDOT
000000000002897,F,PennDOT
000000000002898,P,PennDOT
000000000002899,F,PennDOT
000000000002900,F,PennDOT
000000000002901,F,PennDOT
000000000002902,F,PennDOT
000000000002903,G,PennDOT
000000000002906,G,PennDOT
000000000002907,G,PennDOT
000000000002908,F,PennDOT
000000000002910,F,PennDOT
000000000002912,F,PennDOT
000000000002913,F,PennDOT
000000000002916,G,PennDOT
000000000002918,F,PennDOT
